,Texas,Georgia,Virginia,Kentucky,Missouri,Kansas,Illinois,North Carolina,Iowa,Tennessee,Nebraska,Indiana,Ohio,Minnesota,Michigan,Mississippi,Puerto Rico,Oklahoma,Arkansas,Wisconsin,Alabama,Florida,Pennsylvania,South Dakota,Louisiana,Colorado,New York,California,Montana,West Virginia,North Dakota,South Carolina,Idaho,Washington,Oregon,New Mexico,Alaska,Maryland,Wyoming,New Jersey,Maine,Nevada,Arizona,Vermont,Utah,Massachusetts,New Hampshire,Connecticut,Rhode Island,Hawaii,Delaware,District of Columbia
2020-06-19,105635,62009,56793,13454,17711,12021,135470,50018,25274,34017,17588,41746,43731,32031,67097,20641,6195,9707,14631,24154,29225,89748,85199,6158,48515,30187,386556,174428,666,2468,3226,22608,3871,28225,6572,10260,734,63548,1173,169167,2913,12524,46910,1144,16425,106650,5486,45557,16337,789,10611,9952
2020-06-20,110250,63809,57443,13630,18121,12097,136104,51390,25496,34446,17707,42061,44261,32467,67545,20641,6463,10038,15142,24539,29683,93797,85590,6225,49385,30348,387272,178846,698,2500,3251,23756,4004,28676,6572,10430,755,63956,1179,169522,2938,12976,50127,1147,17068,106936,5518,45715,16337,789,10681,9984
2020-06-21,113112,64701,57994,13750,18552,12136,136762,52801,25963,35102,17812,42423,44808,32920,67711,20641,6525,10516,15561,24819,30122,97291,85935,6297,49778,30539,387936,182026,717,2533,3288,24661,4006,28874,6572,10565,766,64306,1197,169843,2957,13240,52591,1159,17462,107061,5544,45755,16337,814,10775,10020
2020-06-22,118222,65928,58465,13839,18744,12428,137224,53964,26146,35553,17963,42633,45537,33227,67957,22329,6564,10734,16083,25068,30771,100217,86576,6326,50239,30705,388488,188948,734,2552,3313,25666,4254,29394,7083,10694,774,64603,1230,170148,2971,13528,54599,1163,17906,107210,5558,45782,16459,816,10820,10058
2020-06-23,123440,67810,58994,14141,19209,12537,137825,54639,26469,36303,18099,42871,46127,33469,68197,22898,6685,11031,16678,25331,31889,103503,87208,6353,51595,30893,389085,196541,743,2593,3320,26572,4254,29874,7274,10838,776,65007,1254,170506,2996,13528,58378,1164,18300,107439,5571,45899,16533,819,10847,10094
2020-06-24,129210,69381,59514,14363,19557,12930,138540,56527,26601,37235,18221,43140,46759,33763,68555,23424,6820,11510,17375,25763,32878,109014,87685,6419,52477,31155,389666,201764,766,2631,3362,27897,4402,30372,7444,10990,807,65337,1282,170683,3017,13528,60190,1184,18784,107611,5598,45913,16606,835,10889,10128
2020-06-25,134997,71095,59946,14617,20047,13107,139434,57472,27373,38034,18346,43655,47651,34123,68989,24516,6877,11948,18062,26227,33880,114018,88141,6479,53415,31479,390415,207480,803,2694,3393,29022,4865,30866,7568,11192,830,65777,1326,171018,3070,14859,63281,1191,19374,107837,5638,45994,16640,851,10980,10159
2020-06-26,140671,72995,60570,14859,20576,13462,140291,59158,27717,39444,18524,44140,48638,34616,69329,25066,6922,12347,18740,26747,34903,122960,88860,6535,54769,31796,391220,213752,829,2730,3421,30335,4865,31422,7818,11408,851,66115,1368,171430,3102,15240,66659,1198,20050,108070,5671,46059,16661,866,11017,10185
2020-06-27,146254,74985,61247,15167,20935,13617,141077,60812,28073,40172,18775,44575,49455,35033,69679,25531,7066,12646,19310,27286,35083,132545,89446,6626,54769,32022,391923,217612,852,2782,3458,31939,5322,31766,8094,11619,870,66450,1392,171741,3154,16339,70124,1200,20628,108443,5717,46206,16661,872,11091,10216
2020-06-28,151045,77210,61736,15232,21034,13847,141723,62248,28520,40172,18899,44930,50309,35549,69946,25892,7189,12947,19818,27743,36503,141075,89863,6681,56236,32307,392539,222630,863,2832,3495,33320,5322,32267,8341,11809,898,66777,1417,172066,3191,17160,73920,1202,21100,108667,5747,46303,16661,899,11226,10248
2020-06-29,157434,79417,62189,15347,21206,14209,142461,63736,28845,42297,19042,45228,51046,35861,70223,26567,7250,13175,20257,28058,37589,146341,90467,6716,57081,32511,393403,231578,919,2870,3539,34644,5752,32831,8485,11982,920,67254,1450,172199,3219,17894,74545,1208,21664,108768,5760,46362,16764,900,11376,10292
2020-06-30,163737,81291,62787,15624,21403,14370,143185,65327,29074,43509,19177,45594,51789,36303,70728,27247,7465,13757,20777,28659,38477,152434,91139,6764,58095,32715,393454,239538,967,2905,3576,36399,6117,33439,8656,12147,955,67559,1487,172633,3253,18456,79228,1208,22217,108882,5782,46514,16813,917,11474,10327
2020-07-01,172859,84242,63203,15842,21507,14830,144013,66751,29514,45315,19310,45952,52865,36716,71089,27900,7537,14119,21197,29199,39647,158997,91775,6826,60178,33029,394079,247317,1016,2979,3615,37919,6370,34152,8931,12276,993,67918,1514,172934,3294,19101,84105,1210,22716,108882,5802,46572,16853,926,11510,10365
2020-07-02,180169,87709,63735,16079,23133,15002,144013,68216,30259,46890,19452,46387,52865,37210,71678,28770,7608,14531,22075,29738,41340,169106,92612,6893,61561,33352,394954,255494,1083,3053,3657,39701,6593,34909,9294,12520,1033,68423,1550,173411,3328,19733,87445,1227,23270,109338,5822,46646,16941,946,11731,10390
