End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
9/25/2020,[Source](https://covid-19.providence.edu/2020/09/18/9-17-20-urgent-actions-affecting-all-students/),41.842742,-71.437446,Providence College,"Providence, RI",Suspended in-person instruction,Until September 26,9/17/2020,https://covid-19.providence.edu/2020/09/18/9-17-20-urgent-actions-affecting-all-students/,,,,Yes,,,3,,,,,,,,,,
11/18/2020,[Source](https://www.gvsu.edu/gvnext/2020/ottawa-county-department-of-public-health-issues-two-week-staying-in-place-order-for-gvsu-students-living-in-allendale-township.htm),42.963001,-85.889826,Grand Valley State University,"Allendale, MI",Mandatory all-campus quarantine,Until October 1,9/16/2020,https://www.gvsu.edu/gvnext/2020/ottawa-county-department-of-public-health-issues-two-week-staying-in-place-order-for-gvsu-students-living-in-allendale-township.htm,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://udayton.edu/president/path-forward/return_to_campus/in-person-classes/message_to_students.php),39.739547,-84.176113,University of Dayton,"Dayton, OH",Resumed in-person instruction,,9/16/2020,https://udayton.edu/president/path-forward/return_to_campus/in-person-classes/message_to_students.php,,,,,,,3,,,,,,,,,,
9/25/2020,[Source](https://covid-19.providence.edu/2020/09/16/9-15-20-urgent-message-to-off-campus-students/),41.842742,-71.437446,Providence College,"Providence, RI",Quarantine for off-campus students,,9/15/2020,https://covid-19.providence.edu/2020/09/16/9-15-20-urgent-message-to-off-campus-students/,,,,,,,3,,,,,,,,,,
9/24/2020,[Source](https://www.colorado.edu/chancellor/newsletter/chancellor/cu-boulder-students-stay-home-notice-effect-stop-spread-covid-19),40.008781,-105.27082,University of Colorado Boulder,"Boulder, CO",Recommended all-campus quarantine,Until September 29,9/15/2020,https://www.colorado.edu/chancellor/newsletter/chancellor/cu-boulder-students-stay-home-notice-effect-stop-spread-covid-19,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://www.memphis.edu/coronavirusupdates/communications/index.php),35.118878,-89.938068,University of Memphis,"Memphis, TN",Delayed in-person start,October,9/15/2020,https://www.memphis.edu/coronavirusupdates/communications/index.php,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.hartwick.edu/about-us/reopening-our-campus/reopening-updates/),42.457599,-75.071994,Hartwick College,"Oneonta, NY",Resumed in-person instruction,,9/14/2020,https://www.hartwick.edu/about-us/reopening-our-campus/reopening-updates/,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://view.comms.arizona.edu/?qs=b7bd470c090cab39efde5b406375afc797c2ccc2bb88d3a38cbdf10bf963439bdcc6e94fd7fe796390f3668ff1c1a6fac7f9b00aa695d4e16c6b6cd5e668c851f4440fd0c63b531c742c9f39c6fc4e28),32.232672,-110.95082,University of Arizona,"Tuscon, AZ",Recommended all-campus quarantine,Until September 27,9/14/2020,https://view.comms.arizona.edu/?qs=b7bd470c090cab39efde5b406375afc797c2ccc2bb88d3a38cbdf10bf963439bdcc6e94fd7fe796390f3668ff1c1a6fac7f9b00aa695d4e16c6b6cd5e668c851f4440fd0c63b531c742c9f39c6fc4e28,,,,,,,1,,,,,,,,,,
11/18/2020,"[Source](http://www.uwyo.edu/uw/news/2020/09/uw-emerges-from-pause,-moves-to-phase-2-of-fall-return-plan.html)",41.311773,-105.57931,University of Wyoming,"Laramie, WY",Resumed in-person instruction,,9/14/2020,"http://www.uwyo.edu/uw/news/2020/09/uw-emerges-from-pause,-moves-to-phase-2-of-fall-return-plan.html",,,,,,,4,,,,,,,,,,
11/18/2020,[Source](https://www.uwlax.edu/globalassets/info-pages/covid-19/091320-urgent-uwl-shelter-in-place.pdf),43.81568,-91.23186,University of Wisconsin-La Crosse,"La Crosse, WI",Suspended in-person instruction,2 week campus quarantine,9/13/2020,https://www.uwlax.edu/globalassets/info-pages/covid-19/091320-urgent-uwl-shelter-in-place.pdf,,,,Yes,,,1,,,,,,,,,,
