,School,Plan,Type,Date,Reversal Count,Location
167,Hartwick College,Suspended in-person instruction,closing,2020-09-01,2,"Oneonta, NY"
168,Colorado College,Shift to remote instruction,closing,2020-09-01,1,"Colorado Springs, CO"
169,James Madison University,Suspended in-person instruction,closing,2020-09-01,1,"Harrisonburg, VA"
170,Lock Haven University,Suspended in-person instruction,closing,2020-09-01,2,"Lock Haven, PA"
171,San Diego State University System,Suspended in-person instruction,closing,2020-09-02,1,"San Diego, CA"
172,University of Wyoming,Delayed in-person start,closing,2020-09-02,4,"Laramie, WY"
173,Tompkins Cortland Community College,Suspended in-person instruction,closing,2020-09-02,3,"Dryden, NY"
174,University of Illinois Urbana-Champaign,Recommended all-campus quarantine,closing,2020-09-02,1,"Champaign, IL"
175,Temple University,Shift to remote instruction,closing,2020-09-03,2,"Philadelphia, PA"
176,SUNY Oneonta,Shift to remote instruction,closing,2020-09-03,2,"Oneonta, NY"
177,Roanoke College,Shift to remote instruction,closing,2020-09-04,1,Salem VA
178,Gettysburg College,Fewer students on campus,closing,2020-09-04,2,"Gettysburg, PA"
179,John Carroll University,Shift to remote instruction,closing,2020-09-04,2,"Cleveland Heights, OH"
180,Emerson College,Shift to remote instruction,closing,2020-09-04,1,"Los Angeles, CA"
181,West Virginia University,Suspended in-person instruction,closing,2020-09-07,2,Morgantown. WV
182,Winona State University,Suspended in-person instruction,closing,2020-09-08,1,"Winona, MN"
183,Ohio University,Fewer students on campus,closing,2020-09-08,2,"Athens, OH"
184,Bradley University,Suspended in-person instruction,closing,2020-09-08,1,"Peoria, IL"
185,University of Wyoming,Delayed in-person start,closing,2020-09-09,4,"Laramie, WY"
186,University of Wisconsin-Madison,Suspended in-person instruction,closing,2020-09-09,2,"Madison, WI"
187,"University of Maryland, College Park",Resumed in-person instruction,opening,2020-09-11,3,"College Park, MD"
188,Tompkins Cortland Community College,Resumed in-person instruction,opening,2020-09-11,3,"Dryden, NY"
189,University of Scranton,Suspended in-person instruction,closing,2020-09-11,1,"Scranton, PA"
190,Northern Illinois University,Suspended in-person instruction,closing,2020-09-11,1,"DeKalb, IL"
191,Saint Joseph's College of Maine,Suspended in-person instruction,closing,2020-09-12,2,"Standish, ME"
192,Michigan State University,Recommended all-campus quarantine,closing,2020-09-12,2,"East Lansing, MI"
193,University of Wisconsin-La Crosse†,Suspended in-person instruction,closing,2020-09-13,1,"La Crosse, WI"
194,Hartwick College,Resumed in-person instruction,opening,2020-09-14,2,"Oneonta, NY"
